ba,pair,mape_pct,noise_pct,index
AEC,Mon-Tue,1.013666541661547,7.234815796506403,0.1401095162852706
AEC,Mon-Wed,1.158490604100463,7.234815796506403,0.16012717347411703
AEC,Mon-Thu,1.4655060545960832,7.234815796506403,0.20256300862611548
AEC,Mon-Fri,2.4456253883780885,7.234815796506403,0.33803561240067076
AEC,Mon-Sat,4.324185648011429,7.234815796506403,0.5976911879497362
AEC,Mon-Sun,3.8851552195903403,7.234815796506403,0.5370081739284129
AEC,Tue-Wed,0.7347241902501089,7.234815796506403,0.10155395948088927
AEC,Tue-Thu,0.6897003831147013,7.234815796506403,0.09533074545557171
AEC,Tue-Fri,1.796604237148465,7.234815796506403,0.24832757152103602
AEC,Tue-Sat,3.7316452111416387,7.234815796506403,0.5157899407671998
AEC,Tue-Sun,3.5614707706843842,7.234815796506403,0.49226834115170853
AEC,Wed-Thu,0.5378898258854776,7.234815796506403,0.07434741132527763
AEC,Wed-Fri,1.7215449097614477,7.234815796506403,0.23795283227428665
AEC,Wed-Sat,3.695302439314525,7.234815796506403,0.5107666239545363
AEC,Wed-Sun,3.322387642568835,7.234815796506403,0.45922214690983176
AEC,Thu-Fri,1.3107081801639797,7.234815796506403,0.18116676595925266
AEC,Thu-Sat,3.3232410927401794,7.234815796506403,0.45934011123613244
AEC,Thu-Sun,3.147141763765826,7.234815796506403,0.4349995704500921
AEC,Fri-Sat,2.1579072225523737,7.234815796506403,0.29826705796634084
AEC,Fri-Sun,3.209299005247849,7.234815796506403,0.44359097667663866
AEC,Sat-Sun,2.167439904689968,7.234815796506403,0.29958467024642094
AECI,Mon-Tue,0.6930388541331391,9.610401290192534,0.07211341474787207
AECI,Mon-Wed,0.6943698851629655,9.610401290192534,0.07225191375427514
AECI,Mon-Thu,0.7593195266741042,9.610401290192534,0.07901017904933832
AECI,Mon-Fri,1.3305107826221836,9.610401290192534,0.13844487263814642
AECI,Mon-Sat,2.639500404890419,9.610401290192534,0.27465038401508196
AECI,Mon-Sun,2.2725375008269357,9.610401290192534,0.23646645256593732
AECI,Tue-Wed,0.32513886161153416,9.610401290192534,0.033831975564156735
AECI,Tue-Thu,0.5435732622492612,9.610401290192534,0.05656093287217679
AECI,Tue-Fri,1.2111922249065477,9.610401290192534,0.12602930807297044
AECI,Tue-Sat,2.464377313819851,9.610401290192534,0.256428138576769
AECI,Tue-Sun,2.2098079756559903,9.610401290192534,0.22993919909578708
AECI,Wed-Thu,0.4025429833914799,9.610401290192534,0.0418861784473326
AECI,Wed-Fri,1.253220979064675,9.610401290192534,0.1304025650150107
