date,n_bas,label,median_err,share_extreme
2019-11-01,44,,8.603293224192582,0.18181818181818182
2023-11-01,42,,8.16629096301703,0.14285714285714285
2022-11-19,43,,7.912150182976764,0.09302325581395349
2018-05-14,44,,7.856558205187421,0.22727272727272727
2021-06-13,44,,7.788675191980428,0.13636363636363635
2018-05-07,44,,7.761616539770312,0.06818181818181818
2016-06-06,43,,7.72153602544824,0.023255813953488372
2024-10-19,43,,7.4649728619561415,0.046511627906976744
2023-05-13,43,,7.4528189133343155,0.18604651162790697
2020-06-03,43,,7.379505471669099,0.06976744186046512
2016-06-05,44,,7.3290918299634535,0.09090909090909091
2019-11-02,43,,7.290152791053922,0.18604651162790697
2015-11-26,44,Thanksgiving,7.289799590227795,0.045454545454545456
2022-05-16,43,,7.259079232718589,0.046511627906976744
2022-11-20,43,,7.254492123007962,0.046511627906976744
2021-06-14,44,,7.175981251583266,0.09090909090909091
2016-06-04,44,,7.069377493824893,0.09090909090909091
2022-10-19,43,,7.068163531529889,0.09302325581395349
2020-06-04,43,,7.056543373738017,0.023255813953488372
2019-04-08,43,,7.034179868771985,0.0
2018-05-09,44,,7.026528284230004,0.06818181818181818
2018-11-22,43,Thanksgiving,6.996696224863708,0.046511627906976744
2018-05-08,44,,6.993036784838117,0.022727272727272728
2016-11-24,44,Thanksgiving,6.972434737801312,0.0
2021-06-05,44,,6.9414965569828535,0.11363636363636363
2023-11-03,43,,6.938735101363057,0.18604651162790697
2023-05-15,43,,6.904600135590397,0.16279069767441862
2020-05-25,43,Memorial Day,6.903503344323568,0.09302325581395349
2023-10-31,42,,6.896704456430035,0.09523809523809523
2018-10-21,43,,6.829044598347438,0.023255813953488372
2019-10-11,43,,6.816802940798228,0.16279069767441862
2024-10-18,43,,6.815983632531755,0.09302325581395349
2020-05-04,43,,6.814294332341975,0.023255813953488372
2026-03-02,42,,6.801382091144924,0.0
2022-05-15,43,,6.790796375862147,0.11627906976744186
2018-11-16,42,,6.782057123988973,0.047619047619047616
2024-10-17,43,,6.763275861197607,0.09302325581395349
2023-11-02,43,,6.717309756661703,0.27906976744186046
2026-03-26,41,,6.7090538256347125,0.024390243902439025
2023-05-14,43,,6.698081049545503,0.13953488372093023
2023-11-23,43,Thanksgiving,6.682393701255883,0.0
2017-05-29,44,Memorial Day,6.670209960788559,0.11363636363636363
2022-05-14,43,,6.6486284773704245,0.06976744186046512
2020-05-28,43,,6.644057112978265,0.06976744186046512
2019-10-18,44,,6.635553192930867,0.045454545454545456
2026-03-23,42,,6.601487586083705,0.023809523809523808
2018-10-12,43,,6.590816899766909,0.0
2017-11-23,43,Thanksgiving,6.577267231940819,0.09302325581395349
2022-11-18,43,,6.516474835032277,0.0
2022-11-21,43,,6.482463297133559,0.023255813953488372
2018-05-06,43,,6.478098517036411,0.023255813953488372
2025-10-31,43,,6.461474266657589,0.046511627906976744
2019-10-31,44,,6.45418204013674,0.09090909090909091
2019-10-25,44,,6.453618197269341,0.045454545454545456
2020-10-27,42,,6.4413018541976665,0.16666666666666666
2018-10-14,43,,6.4270558282682115,0.0
2020-11-02,43,,6.389519744691189,0.0
2020-10-30,43,,6.3747146871379154,0.023255813953488372
2022-11-17,43,,6.3689947879818885,0.0
2021-11-25,43,Thanksgiving,6.3411056440058,0.11627906976744186
2021-10-17,43,,6.272492782969853,0.023255813953488372
2019-11-03,39,,6.260365749355927,0.1282051282051282
2025-06-09,43,,6.260023467167265,0.23255813953488372
2017-06-19,44,,6.248915857776,0.09090909090909091
2023-05-16,43,,6.247477992659324,0.046511627906976744
2021-06-21,44,,6.242570596849321,0.13636363636363635
2021-04-11,44,,6.237947553691129,0.022727272727272728
2022-11-13,43,,6.22756718804511,0.023255813953488372
2021-10-16,43,,6.197184582496476,0.06976744186046512
2020-02-22,43,,6.1863491289052135,0.06976744186046512
2021-06-01,44,,6.183398228975673,0.1590909090909091
2025-10-30,43,,6.166843695342701,0.023255813953488372
2021-06-20,44,,6.160109245081301,0.045454545454545456
2018-05-28,43,Memorial Day,6.153499145435302,0.06976744186046512
2025-11-01,42,,6.139328979259496,0.023809523809523808
2023-10-29,43,,6.129642451012656,0.09302325581395349
2026-03-27,42,,6.120718271122418,0.0
2022-10-28,43,,6.119211145027889,0.023255813953488372
2026-03-18,42,,6.118594021946997,0.023809523809523808
2023-05-29,43,Memorial Day,6.109049158260607,0.046511627906976744
2022-05-02,43,,6.107387357161076,0.0
2018-05-10,44,,6.105542677306241,0.0
2024-05-27,43,Memorial Day,6.102265841326875,0.0
2021-06-12,44,,6.08910335992469,0.09090909090909091
2019-10-30,44,,6.0837213108395005,0.022727272727272728
2022-12-25,43,Christmas Day,6.08338131939791,0.20930232558139536
2019-10-12,44,,6.065978710844741,0.20454545454545456
2020-05-30,43,,6.058106287962653,0.023255813953488372
2025-06-10,43,,6.055068457477308,0.11627906976744186
2023-10-14,43,,6.052698784805321,0.023255813953488372
2018-05-15,43,,6.039426939245926,0.046511627906976744
2022-11-24,43,Thanksgiving,6.038145750221122,0.0
2019-06-12,44,,6.037853872500041,0.0
2023-05-12,43,,6.03295480707152,0.023255813953488372
2020-06-02,43,,6.026070944216775,0.09302325581395349
2026-06-05,42,,6.014995239055974,0.0
2019-05-27,43,Memorial Day,5.995739713716464,0.023255813953488372
2021-05-02,44,,5.994721725286359,0.0
2021-10-30,43,,5.9858084592652485,0.0
2020-06-06,42,,5.983371080557273,0.023809523809523808
2018-10-13,43,,5.981208215035189,0.023255813953488372
2023-02-25,43,,5.9810725867388195,0.023255813953488372
2017-10-31,43,,5.977883522972891,0.023255813953488372
2025-04-14,43,,5.966820808565478,0.023255813953488372
2018-06-03,43,,5.9606145009588625,0.046511627906976744
2022-04-17,43,,5.958497496998642,0.023255813953488372
2020-10-31,43,,5.9375614792972025,0.023255813953488372
2018-11-11,42,Veterans Day,5.934743002548084,0.047619047619047616
