ba,days,G7_w3_mean,G3off_w3_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
AZPS,3373,4.601917246442049,4.173201558693376,0.42871568774867286,9.316023404813121,0.38620974039462896,0.4715542908918234,0.611989263346257,1.1178662777844048e-38,True,0.4207893741824708,0.6416345834636582,0.7081218796405888,0.6915419847538473,0.6630696144750359,-0.055606746159930866,-0.0706278088594498
NEVP,3281,3.3390494373905653,3.0337006048747046,0.30534883251586,9.144783215743194,0.2733301580947817,0.33713035470719005,0.6084023305734437,2.2508564594264572e-35,True,0.264738994429193,0.5250135177442747,0.5074534376899333,0.4040387075549127,0.5009448654322763,-0.04900452535925327,-0.051520242735971895
FPC,3396,6.023991944236467,5.4762476952015895,0.547744249034879,9.09271217666452,0.48056168747892464,0.6177254600312096,0.5870853080568721,4.143404079247285e-24,True,0.6809813655972763,0.6994691358226641,0.8364670464463393,0.8968055892574515,0.9532186755166457,-0.07949674790861042,-0.10649184371519245
TEPC,3242,6.304399483483605,5.736170557927874,0.5682289255557323,9.013212551717102,0.5118259178927153,0.6205764833292516,0.6076970825574177,1.5548446055036245e-34,True,0.5356499225431613,0.776981527393579,0.9540526412613752,1.0047946241835655,0.8892523999036069,-0.1076979891221867,-0.11693633578828098
SRP,3203,4.518878857744481,4.114002378692557,0.40487647905192403,8.959666585397489,0.3602909077142699,0.4500734672585379,0.5953502984605717,4.575740565132732e-27,True,0.4482296680997835,0.5885462829837651,0.688263444896346,0.6492185940822041,0.628265020408626,-0.0885529933260543,-0.07810029557398632
TEC,3390,5.419403516446005,4.934527975621121,0.48487554082488404,8.947027829787087,0.42710443129317477,0.5418908840980518,0.5804154302670623,9.702030312852617e-21,True,0.6055710040926131,0.6182803991196366,0.7999251289335028,0.7632912216601533,0.8222596831401865,-0.07941819139507933,-0.09670542676752225
PNM,3404,3.074826961411471,2.8031920246992463,0.27163493671222466,8.834153600225136,0.24507654818895383,0.2962284186868732,0.6063829787234043,2.399833838457214e-35,True,0.24049164535383086,0.3729968832947833,0.4503186573128843,0.44885716135619663,0.46600252522210306,-0.04964427242124363,-0.040966202566521205
IPCO,3396,3.4016102585761496,3.1024229593473702,0.2991872992287791,8.795460869582787,0.2672328656494217,0.3314336220313249,0.6010071090047393,6.233771707484584e-32,True,0.4279154460805255,0.415770794401184,0.46334003538604984,0.4279166317763582,0.5229696621621643,-0.05313173668329366,-0.054629602625448935
PACW,2963,3.547988093515409,3.240263627133034,0.30772446638237505,8.673210232717446,0.27133303495477434,0.3441674748382546,0.5963302752293578,1.2430616844468479e-25,True,0.3911419904888096,0.5171652046084874,0.42401890494231953,0.4674277969894526,0.529229864665662,-0.05918303829841442,-0.051385927864222136
GCPD,3404,2.025392489228795,1.85145388340155,0.17393860582724452,8.58789625972568,0.1553321783832825,0.19234348552608727,0.6052009456264775,1.349882201469334e-34,True,0.1506784638884141,0.2612401469539085,0.29367976744600044,0.286709268481486,0.2722631025559774,-0.027861475241727267,-0.032389170923883284
