ba,days,G3_w8_mean,G3T3_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
BANC,3102,4.391264159782408,3.3463173050933617,1.0449468546890468,23.796037238188493,0.9614349071219043,1.1293885813941795,0.6657223796033994,5.7356316747489814e-62,True,1.0894639107325157,1.1912249820298584,1.302066928078341,1.0922398797483714,1.1463152396839278,0.5180068457738178,0.7999213436953473
PNM,3174,3.311537394341297,2.5377590767225238,0.7737783176187735,23.366135588291822,0.7206429837103568,0.8269046361955331,0.7299760191846523,2.05255043169129e-101,True,0.8282652260912647,0.8880903504108452,0.8643333638223291,0.9055942692291086,0.9082065542418198,0.42743466536618646,0.463658624588458
EPE,3175,4.383876386683393,3.3926790002458174,0.9911973864375754,22.610066959197784,0.9239041780081958,1.0620308058975803,0.724561403508772,1.7859351308446533e-105,True,1.087257476160585,1.085859208356234,1.1148542167187365,1.1473187860678906,1.0780195048557286,0.6290104658226073,0.6599572862606901
SRP,3127,4.728825271018169,3.6772487126256594,1.0515765583925103,22.23758540704326,0.9749296812300421,1.1374709793455289,0.7470558115719406,3.7111313840660584e-110,True,1.2331483725601484,1.2705015833440387,1.2894380918327435,1.2372340875009686,0.9986923478280914,0.5931134861355128,0.5521581589551625
NEVP,3133,3.415765452369136,2.6913150613752967,0.724450390993839,21.209020381986956,0.6684337264492656,0.7779538397104524,0.7296497286630489,2.352148381493499e-98,True,0.7923469079113007,0.8277237100510257,0.8330436025683035,0.8491235193285084,0.8669113023604964,0.3975977216519652,0.36379739791018056
IPCO,3189,3.450277501494639,2.7645408539340957,0.6857366475605426,19.874825931058755,0.6346923401980985,0.7374129606836732,0.7026060296371998,1.0243353672131297e-73,True,0.769534219172352,0.7799518333087861,0.7729331438673848,0.8572470887724123,0.7976909101652369,0.3409371950306717,0.344791601641035
AVA,3194,3.2269777977519616,2.5919213949391384,0.6350564028128236,19.679602483017657,0.5822948781544858,0.6887790429585914,0.6944917660420216,2.827295307179668e-61,True,0.7260292481283739,0.8012655152230977,0.8205050496486769,0.787794844702873,0.7130607911083128,0.2551334919850067,0.1945023408500247
SWPP,3060,3.2038045896682252,2.5875035905185624,0.6163009991496632,19.236535247409865,0.5662823614301581,0.6702371513956554,0.6560207164436772,1.113471896523514e-51,True,0.7285935128349477,0.7859864542905416,0.7007042741705867,0.6956721605559586,0.7462056856708477,0.2450933849115029,0.2618925171501189
AZPS,3213,4.913310839681595,4.009792878271079,0.9035179614105163,18.389187879451736,0.8308089087673938,0.9777260910320128,0.7356671740233384,6.98382823536922e-101,True,1.0232704215003852,1.1031334645026376,1.088845527024762,1.0714900556893896,0.8984353547016894,0.5033586203031742,0.4842391037665554
DUK,3163,4.906045696227352,4.020974275512365,0.885071420714987,18.0404235002456,0.8103844947977042,0.9575477807200561,0.6751326762699015,1.031808578339923e-73,True,0.7994468457163705,1.087700172449198,1.041614401061615,1.0808685580483355,0.9799089020675121,0.4316111698645646,0.5935579777568407
