date,n_bas,label,median_err,share_of_bas
2026-03-10,12,,19.942716483925484,0.2857142857142857
2023-11-02,12,,15.817163647531778,0.27906976744186046
2020-12-03,11,,19.898480153710263,0.2558139534883721
2025-11-12,9,,20.487311007438922,0.20930232558139536
2025-06-09,9,,11.692671318305052,0.20930232558139536
2022-01-30,9,,20.157080129034853,0.21428571428571427
2020-03-29,8,,22.553723253290325,0.18604651162790697
2021-06-01,8,,12.347113136070188,0.18181818181818182
2024-12-04,8,,18.718431082309174,0.18604651162790697
2020-12-27,8,,27.984206808115452,0.18604651162790697
2019-11-02,8,,15.546142034629153,0.18604651162790697
2022-06-26,8,,11.513930309149313,0.18604651162790697
2023-05-13,8,,12.00943769719441,0.18604651162790697
2016-01-25,8,,25.099403215704037,0.19047619047619047
2019-10-11,8,,11.629448105509809,0.18604651162790697
2018-05-14,8,,10.900010515326002,0.18181818181818182
2020-03-28,7,,21.251189525164737,0.16279069767441862
2025-06-08,7,,13.20971067981516,0.16279069767441862
2025-06-10,7,,10.79874013769774,0.16279069767441862
2022-10-20,7,,16.80676981367643,0.16279069767441862
2019-10-12,7,,11.155504891970207,0.1590909090909091
2023-05-17,7,,14.206136569201336,0.16279069767441862
2026-01-16,7,,18.938915102975297,0.16279069767441862
2018-01-19,7,,26.502986992947204,0.16666666666666666
2020-10-26,7,,13.216406991626009,0.16279069767441862
2023-11-03,7,,19.844176001658944,0.16279069767441862
2019-10-01,6,,11.36111078028334,0.13636363636363635
2021-06-26,6,,11.817198801329766,0.13636363636363635
2023-11-01,6,,16.87330995207374,0.14285714285714285
2022-06-27,6,,11.330648855386013,0.13953488372093023
2026-03-21,6,,17.23439334892787,0.14285714285714285
2022-10-19,6,,16.19334146932882,0.13953488372093023
2021-06-13,6,,12.102191596363943,0.13636363636363635
2026-06-14,6,,11.915378936098184,0.14285714285714285
2019-11-01,6,,16.948935706798764,0.13636363636363635
2019-11-04,6,,17.036636968748326,0.13636363636363635
2023-07-05,6,,10.896046674341003,0.13953488372093023
2020-10-27,6,,12.658094904191852,0.14285714285714285
2023-05-16,6,,11.082820289216148,0.13953488372093023
2024-07-05,5,,11.142527723580725,0.11627906976744186
2020-11-11,5,Veterans Day,18.143097736407785,0.11904761904761904
2021-11-25,5,Thanksgiving,18.882162124709843,0.11627906976744186
2018-11-29,5,,21.23555747595246,0.11904761904761904
2022-01-23,5,,17.99409671797811,0.11627906976744186
2017-01-09,5,,21.643946706316694,0.11363636363636363
2017-11-23,5,Thanksgiving,14.689945809503,0.11627906976744186
2026-03-11,5,,24.63382694016174,0.11904761904761904
2022-01-24,5,,24.31219025853476,0.11627906976744186
2024-10-17,5,,16.847365079385245,0.11627906976744186
2020-05-26,5,,14.295491295248342,0.11627906976744186
2022-12-28,5,,18.915973299250663,0.11627906976744186
2019-11-10,5,,19.923493570469418,0.11363636363636363
2019-10-02,5,,8.999558272780877,0.11363636363636363
2018-01-07,5,,23.655905807167933,0.11627906976744186
2016-02-11,5,,23.891432097282838,0.11627906976744186
2016-01-20,5,,22.821573348915905,0.11627906976744186
2019-10-10,5,,10.484502305500108,0.11363636363636363
2019-11-03,5,,18.06470494081422,0.1282051282051282
2019-10-31,5,,12.234124632964727,0.11363636363636363
2023-01-16,5,MLK Day,21.81140658507308,0.11627906976744186
2021-06-05,5,,11.394385636592423,0.11363636363636363
2025-01-25,5,,23.098915315179287,0.11627906976744186
2022-12-27,5,,20.638135593846094,0.11627906976744186
2018-05-09,4,,12.269359352305358,0.09090909090909091
2021-05-22,4,,12.93545950587486,0.09090909090909091
2021-06-12,4,,12.360203325686724,0.09090909090909091
2021-06-02,4,,12.874768326011855,0.09090909090909091
2020-10-28,4,,17.62735814012037,0.0975609756097561
2020-12-09,4,,22.28491156954489,0.09302325581395349
2026-01-17,4,,23.40342764577671,0.09523809523809523
2018-11-17,4,,23.843641366787928,0.09302325581395349
2026-01-29,4,,22.8884948985436,0.09302325581395349
2021-06-21,4,,12.442854444976255,0.09090909090909091
2026-02-02,4,,22.155709780868534,0.09302325581395349
2025-11-11,4,Veterans Day,16.17443822798533,0.09302325581395349
2017-10-29,4,,14.746108941424836,0.09090909090909091
2022-01-31,4,,28.77101443553429,0.09523809523809523
2024-06-11,4,,12.400354378435198,0.09302325581395349
2023-10-30,4,,10.033553233628737,0.09302325581395349
2023-10-31,4,,12.31505046410966,0.09523809523809523
2026-02-14,4,,18.973400839877122,0.09302325581395349
2024-06-13,4,,12.647226776863203,0.09302325581395349
2026-02-03,4,,24.206695555319058,0.09523809523809523
2022-03-07,4,,15.812286746830369,0.09302325581395349
2020-03-22,4,,21.5745548031475,0.09302325581395349
2016-01-24,4,,21.95119810942864,0.09302325581395349
2020-05-08,4,,14.556710794218912,0.09302325581395349
2025-04-04,4,,17.660824478584303,0.09302325581395349
2022-05-30,4,Memorial Day,12.646811151069961,0.09302325581395349
2018-12-12,4,,21.769752050171,0.09523809523809523
2016-06-05,4,,12.0565739748338,0.09090909090909091
2016-06-04,4,,13.723103390906862,0.09090909090909091
2026-04-15,4,,18.44954992876445,0.09523809523809523
2023-04-30,4,,16.20132910858549,0.09302325581395349
2020-05-28,4,,13.037709473649528,0.09302325581395349
2025-05-28,4,,10.741106823841568,0.09302325581395349
2026-04-09,4,,16.172644091349966,0.09523809523809523
2017-01-10,4,,22.667533316173085,0.09090909090909091
2024-11-19,4,,16.27271956006766,0.09302325581395349
2016-02-08,4,,20.516698473829457,0.09302325581395349
2020-05-06,4,,17.206001007041287,0.09302325581395349
2019-11-13,4,,16.445343292103892,0.09090909090909091
2017-05-29,4,Memorial Day,11.3362208906393,0.09090909090909091
2023-01-15,4,,19.735382342906593,0.09302325581395349
2017-05-22,4,,12.372433425522075,0.09090909090909091
2022-12-25,4,Christmas Day,17.378297506971318,0.09302325581395349
2025-05-31,4,,13.67050833476064,0.09302325581395349
2025-02-16,4,,18.875727499118046,0.09302325581395349
2026-03-29,4,,14.811268902536735,0.09523809523809523
2020-03-15,4,,26.140401964311245,0.09302325581395349
2023-05-20,4,,12.77876136355375,0.09302325581395349
2020-06-05,4,,10.20893182780125,0.09302325581395349
2019-05-01,4,,17.634775583837083,0.09302325581395349
2022-03-06,4,,16.85631123328359,0.09302325581395349
2024-06-05,3,,10.535983604485716,0.06976744186046512
2020-04-28,3,,16.85946512239522,0.06976744186046512
2020-04-26,3,,18.23412023705421,0.06976744186046512
2020-04-29,3,,17.11109966089178,0.06976744186046512
2025-01-10,3,,20.33918929687309,0.06976744186046512
2020-04-25,3,,17.138609017670127,0.06976744186046512
2018-05-29,3,,11.059710715284425,0.06818181818181818
2021-05-31,3,Memorial Day,12.203538454371971,0.06818181818181818
2021-05-23,3,,14.126287679828039,0.06818181818181818
2018-05-28,3,Memorial Day,10.591001369749,0.06976744186046512
2018-05-26,3,,12.669522913760995,0.06976744186046512
2024-10-18,3,,19.55734316177723,0.06976744186046512
2020-12-19,3,,26.189281485930188,0.06976744186046512
2025-04-20,3,,16.68579718969895,0.06976744186046512
2020-06-03,3,,12.676310780979433,0.06976744186046512
2025-06-30,3,,10.91303728126154,0.07142857142857142
2020-09-11,3,,11.501246345588394,0.06976744186046512
2025-06-26,3,,12.948988719690949,0.06976744186046512
2025-06-21,3,,9.174503588974929,0.07142857142857142
2024-11-08,3,,17.890332569801522,0.06976744186046512
2019-04-24,3,,17.829273306840687,0.07142857142857142
2020-10-29,3,,11.097913946182587,0.06976744186046512
2020-11-12,3,,19.743175037167518,0.06976744186046512
2024-07-09,3,,11.173805344129763,0.06976744186046512
2020-11-25,3,,16.28565156639388,0.07142857142857142
2025-10-15,3,,9.991056987456533,0.06976744186046512
2020-06-02,3,,10.333085292163895,0.06976744186046512
2020-12-02,3,,25.72608549649677,0.06976744186046512
2020-05-27,3,,13.310385209932592,0.06976744186046512
2020-05-25,3,Memorial Day,11.630498776120008,0.06976744186046512
2025-04-28,3,,15.11379151529236,0.06976744186046512
2020-12-10,3,,21.143956201521316,0.06976744186046512
2020-12-28,3,,20.784488103235553,0.06976744186046512
2024-06-23,3,,12.250942817032605,0.06976744186046512
2024-06-22,3,,10.416894726792899,0.06976744186046512
2021-06-04,3,,9.40073811199089,0.06818181818181818
2021-06-14,3,,13.0257594688062,0.06818181818181818
2018-05-13,3,,16.101046840319277,0.06818181818181818
2017-05-23,3,,11.22581289259272,0.06818181818181818
2016-06-03,3,,13.508194658461207,0.06818181818181818
2026-05-17,3,,10.933095098917063,0.07317073170731707
2017-10-28,3,,14.697722010220637,0.06818181818181818
2017-10-03,3,,11.796126549730738,0.06818181818181818
2026-05-12,3,,12.670806886837473,0.07142857142857142
2021-10-16,3,,14.106845823451621,0.06976744186046512
2021-11-05,3,,13.38705800662818,0.06976744186046512
2026-03-16,3,,18.086496637836014,0.06976744186046512
2016-06-19,3,,12.629525895923935,0.06818181818181818
2023-06-06,3,,12.438759060733,0.06976744186046512
2017-06-19,3,,12.073075410466332,0.06818181818181818
2022-06-25,3,,12.928947086796775,0.06976744186046512
2017-06-11,3,,9.452202895646094,0.06818181818181818
2023-05-18,3,,11.890881469799686,0.07142857142857142
2026-05-18,3,,10.671280752889968,0.07142857142857142
2022-06-10,3,,11.270502310501335,0.06976744186046512
2023-04-28,3,,17.956435041379823,0.06976744186046512
2016-10-08,3,,30.784924316596967,0.06818181818181818
2025-12-29,3,,18.319508245695147,0.06976744186046512
2022-05-25,3,,12.264580561394018,0.06976744186046512
2026-03-27,3,,17.78896258217663,0.07142857142857142
2023-05-15,3,,11.593181193434408,0.06976744186046512
2023-05-14,3,,12.086429207313204,0.06976744186046512
2016-12-19,3,,19.31169623332546,0.06818181818181818
2016-12-21,3,,16.26415617534581,0.06818181818181818
2017-01-31,3,,19.173920751278054,0.06976744186046512
2022-05-14,3,,13.267544160080044,0.06976744186046512
2022-05-15,3,,11.553722427139117,0.06976744186046512
2023-10-29,3,,11.837063912517227,0.06976744186046512
2021-09-26,3,,17.89486588921612,0.06976744186046512
2022-11-19,3,,15.154978081393999,0.06976744186046512
2016-03-20,3,,18.830892396301937,0.07317073170731707
2021-06-22,3,,9.996388197454904,0.06818181818181818
2023-01-17,3,,19.86933981280219,0.07142857142857142
2021-06-17,3,,9.938640938119416,0.06818181818181818
2021-06-15,3,,13.998253112777212,0.06976744186046512
2018-01-18,3,,19.531579176208965,0.07317073170731707
2026-06-05,3,,10.329168468228776,0.07142857142857142
2026-02-04,3,,20.748987040510602,0.07142857142857142
