ba,days,G3_w8_mean,G7_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
SCL,3804,2.55636939590993,2.5990708688570643,-0.042701472947134694,-1.6703952494289374,-0.059342877124850514,-0.025777204521099422,0.44411547002220575,6.773766859702372e-09,False,-0.12226115552132999,-0.11251091141018361,-0.0725024547660004,-0.17531548463293772,0.18053993635356652,0.0,0.0
BPAT,3823,2.8998124005311396,2.9900202328629404,-0.0902078323318009,-3.110816145047111,-0.11020041234624678,-0.0701669930579252,0.41304347826086957,1.2615659978019066e-19,False,0.09197226583145894,-0.23503137102554586,-0.21503828147945725,-0.2339975336791109,-0.017787249708629483,0.0,0.0
MISO,3815,2.7067604730631962,2.7944108773614857,-0.08765040429828944,-3.238203201596812,-0.10486408113423794,-0.0698011046663053,0.41743627632065017,8.585181495540668e-18,False,0.013687785094850325,-0.15833571534814106,-0.21208457116253965,-0.19800934186468208,-0.047021968258573126,0.0,0.0
PGE,3802,3.343646968317223,3.45250098192323,-0.10885401360600679,-3.255547449759338,-0.13434538637153967,-0.08433884431557537,0.4183030752130419,2.101375098305342e-17,False,-0.02349153490665387,-0.2701918738428151,-0.25341603186297595,-0.22617570723204145,0.024217018830180504,0.0,0.0
TPWR,3824,3.270091012967116,3.3826160002751986,-0.11252498730808262,-3.441035336994584,-0.13405483711344607,-0.09084783901655041,0.39779005524861877,1.415893216459773e-26,False,0.023960370130920554,-0.24312103479498498,-0.2469872863677336,-0.23747513000026102,-0.06726620222767517,0.0,0.0
CISO,3801,3.2742671571301747,3.3894358620310605,-0.11516870490088546,-3.5173887582780012,-0.1330527992131468,-0.09663173288118335,0.385640266469282,9.093010160181538e-33,False,0.09731059278130748,-0.21801733508841703,-0.21549219066745556,-0.24685683802943045,-0.20018541930867537,0.0,0.0
PSEI,3255,3.3391364431465362,3.465661932630857,-0.12652548948432146,-3.7891679971332324,-0.15057009878621594,-0.10317955391550523,0.3859800951968845,4.294782560719943e-28,False,-0.04843151530081916,-0.24527437939453053,-0.2301643407778751,-0.24581185139577463,-0.10559723466427577,0.0,0.0
PJM,3811,3.220588652451101,3.3453982559838367,-0.12480960353273537,-3.8753661830655166,-0.14664389674324152,-0.10360229689767912,0.40907414238288453,2.660739710650194e-21,False,-0.1991164416336359,-0.21336754909912992,-0.2245973534012437,-0.19431867959398788,-0.04539041051119826,0.0,0.0
GCPD,3823,2.251970984946141,2.341052162211144,-0.08908117726500318,-3.9556982687826983,-0.10340636268175102,-0.07506432615106076,0.3784977908689249,5.335323482054309e-37,False,-0.020459030018476033,-0.14311568019823215,-0.17095645281797966,-0.2198274846033147,-0.06078173376291734,0.0,0.0
PACW,3635,4.066810374869983,4.228823651908745,-0.16201327703876203,-3.9837922623560145,-0.1870512944891219,-0.135997575965944,0.38530326594090203,1.9172286508871832e-31,False,0.061408911339151516,-0.3900283498780949,-0.2793675677033545,-0.3207285857956394,-0.18239117284645368,0.0,0.0
ISNE,3824,3.88697283406771,4.04266524712002,-0.15569241305230982,-4.005492698269722,-0.18075258168884545,-0.13125394911801738,0.3867403314917127,2.587275729360902e-32,False,-0.2515360861521532,-0.2901652864012956,-0.22779695552106222,-0.29590468541240184,-0.030786095253205074,0.0,0.0
NYIS,3822,2.7389418228552196,2.848853056469436,-0.10991123361421605,-4.012908660456274,-0.12602772412625998,-0.09232532818854956,0.39697751566531514,5.863918085639847e-27,False,-0.20838550297917796,-0.20695065584429548,-0.1521063371635892,-0.20656678638444367,-0.0028765070137575137,0.0,0.0
LGEE,3814,4.867548543284834,5.064785407892947,-0.19723686460811068,-4.0520780194419315,-0.2306106644554288,-0.16421910953570593,0.4146971935007385,6.675228639009839e-19,False,-0.14616180248792987,-0.28448890668974974,-0.305220712145196,-0.29803533189281983,-0.34302446666376857,0.0,0.0
NWMT,3805,2.674065910958611,2.7834641961135635,-0.10939828515495283,-4.091084094323437,-0.12496044712889597,-0.09365855035052778,0.38421637643571693,1.610946976904527e-33,False,-0.13224309577860147,-0.19880447997467762,-0.1904347671598764,-0.14708424807462125,-0.09888932794996187,0.0,0.0
JEA,3810,5.899263982181858,6.145404249289122,-0.24614026710726472,-4.172389434524494,-0.2915651011130121,-0.20461474163913762,0.4091580502215657,3.044369414582556e-21,False,-0.30197577167249445,-0.3741652678560048,-0.3695576782915741,-0.39062766116316316,-0.28958310418324057,0.0,0.0
EPE,3816,4.8256977610114555,5.028530076511471,-0.20283231550001515,-4.203170723595046,-0.22744180334306133,-0.17685556796751986,0.37426253687315636,1.7768725662752447e-39,False,-0.11111792351144231,-0.27781031972681247,-0.3400584387306193,-0.3957165594043863,-0.2850790914518182,0.0,0.0
