ba,days,G3_w8_mean,G5_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
SCL,3810,2.5549469587199103,2.5523810489231127,0.002565909796797377,0.10042908280502853,-0.00936423281571948,0.01420204561741162,0.5040620384047267,0.6865529422263152,False,-0.12226115552132999,-0.03584503776232594,0.027192617093871215,-0.04022409228079771,0.18053993635356652,0.0,0.0
BPAT,3829,2.89782219175136,2.9108980132584477,-0.013075821507087908,-0.451229255690987,-0.030961748953981315,0.003965459429031239,0.4676470588235294,0.0007892771052516676,False,0.09197226583145894,-0.09590185818128115,-0.04631887398699333,-0.011144029903535427,-0.017787249708629483,0.0,0.0
MISO,3821,2.7044981730096285,2.7186128695025857,-0.014114696492956984,-0.5218970614888536,-0.02984382193922783,0.0015467219011289896,0.4913380022115739,0.37716015471444286,False,0.013687785094850325,-0.06874140798950538,-0.010127956016107541,0.01684335504642777,-0.047021968258573126,0.0,0.0
PGE,3808,3.344424274697753,3.372247827127604,-0.027823552429850382,-0.8319384786299246,-0.045820424240306745,-0.00857019946449305,0.4680221811460259,0.000939330428743585,False,-0.02349153490665387,-0.10387558345337115,-0.061844751823825074,-0.026947032508711086,0.024217018830180504,0.0,0.0
TPWR,3830,3.2674159401008334,3.2989811507527933,-0.031565210651960336,-0.966060374027135,-0.04794408626203998,-0.01452102578761381,0.4527747151782433,9.054158111654836e-07,False,0.023960370130920554,-0.10251793328965506,-0.04276845340125187,-0.02589507671116751,-0.06726620222767517,0.0,0.0
CISO,3807,3.273903695760894,3.308029253326939,-0.034125557566045066,-1.0423506839932835,-0.050280922821014096,-0.019556987902896047,0.4446085672082718,8.84879077226205e-09,False,0.09731059278130748,-0.10131423731338955,-0.030184645592406394,0.006938987821359776,-0.20018541930867537,0.0,0.0
PACW,3641,4.066210026458299,4.110835286224565,-0.044625259766264656,-1.0974656861277183,-0.06746864819258819,-0.023025928814019575,0.45073700543056633,6.1414270568478e-07,False,0.061408911339151516,-0.12746547857741877,-0.043000038459987254,-0.00731642832031062,-0.18239117284645368,0.0,0.0
PSEI,3273,3.3358585002980896,3.3758088290647286,-0.039950328766639,-1.1976026190280276,-0.05728648054463738,-0.022162767126138128,0.43580936024044653,6.282499021102767e-10,False,-0.04843151530081916,-0.0876864263746745,-0.0288321561727682,-0.010172190979774804,-0.10559723466427577,0.0,0.0
PJM,3817,3.218605475357933,3.261584170742179,-0.042978695384246146,-1.3353203961559343,-0.06054071079189553,-0.02471506128761138,0.4556496135443504,4.081460975320721e-06,False,-0.1991164416336359,-0.07554170265759064,-0.008563017851853002,0.011944070080706823,-0.04539041051119826,0.0,0.0
GCPD,3829,2.250354966918663,2.281900898296116,-0.03154593137745343,-1.401820239082025,-0.04360434466603014,-0.019248396727930016,0.4239529757531227,2.1726059790906192e-15,False,-0.020459030018476033,-0.08674851579578856,-0.03901680302403985,-0.011924105766157598,-0.06078173376291734,0.0,0.0
NWMT,3811,2.672502338232089,2.711454819907351,-0.038952481675262274,-1.457528441341985,-0.05195042872564173,-0.026274246819908635,0.46210720887245843,8.705692461604093e-05,False,-0.13224309577860147,-0.055254456448183796,-0.01285748406501536,0.016296766945184355,-0.09888932794996187,0.0,0.0
NYIS,3828,2.7393522241926753,2.7808508705288437,-0.0414986463361688,-1.5149072824470033,-0.0538137377133783,-0.02962645275783059,0.4501655020228025,2.1942925286579215e-07,False,-0.20838550297917796,-0.0678588075135641,-0.010063935343333764,-0.01775958642471827,-0.0028765070137575137,0.0,0.0
ISNE,3830,3.8855175281979313,3.947177110460913,-0.061659582262982085,-1.5869078395736709,-0.08049681025581605,-0.04319457582573729,0.44395442851892686,5.418785240746408e-09,False,-0.2515360861521532,-0.10914840352918441,-0.03856097472885598,-0.019841353788361597,-0.030786095253205074,0.0,0.0
AVA,3789,3.4916551753422476,3.5476450467961187,-0.055989871453870986,-1.6035338154026888,-0.07327827241501347,-0.038994951737127276,0.4524517087667162,8.72998960168638e-07,False,-0.10556993214586097,-0.12286384955643866,-0.04214269892343563,0.010857446107944063,-0.1375979550617199,0.0,0.0
EPE,3822,4.822856808984338,4.900331528555513,-0.07747471957117455,-1.6064072113202592,-0.09903132299292743,-0.05589024759283675,0.44223693892568067,1.853054569106696e-09,False,-0.11111792351144231,-0.14937801702814188,-0.030482037296053425,0.028100760810485716,-0.2850790914518182,0.0,0.0
JEA,3816,5.895911152750446,5.997935783347036,-0.10202463059658988,-1.7304302584172309,-0.13491490775903667,-0.07176474147011859,0.4587324981577008,1.8452614515788728e-05,False,-0.30197577167249445,-0.1066251303824503,-0.01877194396856535,-0.020466253306131197,-0.28958310418324057,0.0,0.0
WACM,3678,3.316963409007374,3.374890424506754,-0.057927015499380126,-1.7463869315554257,-0.0712113503887624,-0.045205356968624114,0.4053639846743295,3.712622637541564e-22,False,-0.1839775167490013,-0.0773816508893172,-0.05641635395333963,-0.025876851207044554,-0.0737859003495561,0.0,0.0
PSCO,3813,3.987371070463615,4.058301268389586,-0.07093019792597195,-1.7788712580924866,-0.0901125419803947,-0.05204255622183924,0.4185103244837758,2.1235242875324202e-17,False,-0.21177196629115705,-0.1297050449613365,-0.07007882373087572,-0.04747341832912991,-0.049838108900874145,0.0,0.0
FPL,3770,3.879951168278229,3.949787920051706,-0.06983675177347783,-1.7999389359446154,-0.08960490179280049,-0.04889883425775773,0.43533358181140513,2.247925509892832e-11,False,-0.22482174326855386,-0.09949490866322049,-0.02774520212412292,-0.0018112384786603836,-0.15183808560445816,0.0,0.0
IPCO,3827,3.7394110003774172,3.807942782690372,-0.06853178231295462,-1.8326892204691525,-0.08611004254432923,-0.05090465814703343,0.43251195292386907,2.0731699184292323e-12,False,-0.1087767749948797,-0.11541521641534568,-0.05055884477762928,0.0007027053037963828,-0.2112896658898514,0.0,0.0
LGEE,3820,4.864685562596718,4.954026528928622,-0.08934096633190382,-1.8365208846964929,-0.11499635276785246,-0.06436078555302169,0.44546794399410466,1.4444002065363048e-08,False,-0.14616180248792987,-0.10685666788779381,-0.028147411164562593,-0.012215077678514125,-0.34302446666376857,0.0,0.0
LDWP,3797,4.153528673883623,4.230534957756541,-0.07700628387291818,-1.8539966837622897,-0.09233847056688244,-0.06184071021131661,0.4427621861152142,2.777983548072225e-09,False,-0.14331449976352612,-0.10331491909354969,-0.03406849102338684,0.016093248588038504,-0.282666274396338,0.0,0.0
SWPP,3712,3.4669916116527313,3.531644261597558,-0.06465264994482625,-1.864805490948564,-0.08411609630244812,-0.04495106935210708,0.45144157814871017,6.680674772366726e-07,False,-0.22197653332304126,-0.09814898144671279,-0.02182936863754622,0.02373363778421446,-0.15268019274807906,0.0,0.0
PACE,3683,3.1502828104559915,3.210028841838817,-0.05974603138282568,-1.8965291365119585,-0.07329920845096873,-0.0466900608070118,0.411787217757367,1.8454039078780344e-19,False,-0.1064434070781976,-0.10201822197995809,-0.037682529665831486,-0.021189968293061585,-0.1564289631442719,0.0,0.0
SRP,3736,5.167896554787797,5.266427982095413,-0.0985314273076174,-1.9066060294169969,-0.12150226378714711,-0.07543453325199873,0.42894736842105263,2.446461327988716e-13,False,-0.018535361326006795,-0.17774274435749393,-0.05990530005600004,0.017051676963708896,-0.44801854080572906,0.0,0.0
FPC,3827,5.935504347264919,6.048700454722159,-0.11319610745723883,-1.9071017530195158,-0.14690093422429584,-0.0807903134046598,0.43864805290227776,1.6540416087889844e-10,False,-0.39186043817443467,-0.11694478090614935,-0.015688084399309913,0.03433785813820582,-0.33434909132549445,0.0,0.0
FMPP,3783,4.683745565377664,4.7735359023137045,-0.08979033693604183,-1.9170626517327007,-0.11499873513320011,-0.06686157668056698,0.4427934621099554,3.156419462404877e-09,False,-0.3500336060737443,-0.08734981915593369,-0.03164530956019572,0.014278834119529942,-0.20240411863232502,0.0,0.0
SOCO,3765,4.548504065854114,4.637671153376045,-0.08916708752193186,-1.9603607302742545,-0.11689068745254502,-0.06267951828339592,0.4671396564600448,0.0007175561447409525,False,-0.2143594445094305,-0.09753710913270593,-0.05474494484709274,-0.01675692103977027,-0.2558888141611145,0.0,0.0
AEC,2133,7.292222807007102,7.438501401957639,-0.1462785949505372,-2.0059534496117974,-0.20579944983245949,-0.08821762563168803,0.48291721419185285,0.1911063132366308,False,-0.40224693885270507,-0.02248105977585622,0.046467012826061464,0.0651534059910879,-0.7506628504682378,0.0,0.0
TEC,3824,5.208342169145093,5.313231235779131,-0.10488906663403931,-2.0138666628973803,-0.130757260556174,-0.07663359699419067,0.44669117647058826,2.9163466617643846e-08,False,-0.3744506855783679,-0.07351823752401687,-0.019872695287718033,0.035899393268389285,-0.3341683529476499,0.0,0.0
WALC,3763,5.6547496452476596,5.7787257431688985,-0.12397609792123813,-2.192424169042207,-0.14278226047458198,-0.10521883594103303,0.38882639670041247,1.1629582507023894e-30,False,-0.16620816463141605,-0.17955485020728987,-0.06271927116154753,0.026389492470922156,-0.49315716894072736,0.0,0.0
CPLW,3823,5.906756338574564,6.038472075948896,-0.13171573737433273,-2.229916553593927,-0.16367232263397377,-0.09789036834346686,0.45143487858719644,4.454229003607316e-07,False,-0.36931943417727775,-0.12277731916377647,-0.09592515831381614,-0.03284789835619687,-0.3281165884300633,0.0,0.0
DUK,3828,5.347837369742462,5.467119979838949,-0.1192826100964876,-2.230483125223233,-0.15067387923487818,-0.08672041775038267,0.4533431300514328,1.2183845650891967e-06,False,-0.3471662821978138,-0.12319826342919493,-0.05066590042882576,0.0014676462897771842,-0.34225035073634025,0.0,0.0
