date,n_bas,label,median_err,share_of_bas
2023-11-02,12,,15.746320526269827,0.27906976744186046
2022-01-30,10,,19.85875899600108,0.23809523809523808
2025-06-09,10,,11.551536496618004,0.23255813953488372
2018-05-14,10,,11.07906994032988,0.22727272727272727
2022-12-25,9,Christmas Day,17.488745484301912,0.20930232558139536
2020-12-27,9,,26.90360611510954,0.20930232558139536
2019-10-12,9,,11.926516651255607,0.20454545454545456
2020-03-29,8,,22.553723253290325,0.18604651162790697
2023-11-03,8,,17.97632279729734,0.18604651162790697
2024-12-04,8,,18.118979887390232,0.18604651162790697
2023-05-13,8,,12.00943769719441,0.18604651162790697
2025-11-12,8,,18.8410841604506,0.18604651162790697
2020-03-28,8,,20.518569984197256,0.18604651162790697
2019-11-01,8,,16.648806914805412,0.18181818181818182
2022-06-26,8,,11.513930309149313,0.18604651162790697
2019-11-10,8,,19.352049559408147,0.18181818181818182
2025-06-08,8,,12.339024721091615,0.18604651162790697
2019-11-02,8,,15.546142034629153,0.18604651162790697
2025-06-30,7,,10.507396152433458,0.16666666666666666
2020-10-27,7,,13.342704956042237,0.16666666666666666
2019-10-11,7,,10.376212224618419,0.16279069767441862
2023-05-15,7,,11.748596111116232,0.16279069767441862
2021-06-01,7,,11.389571384126933,0.1590909090909091
2022-10-20,7,,16.73731771040517,0.16279069767441862
2021-05-31,6,Memorial Day,11.662188036862542,0.13636363636363635
2018-01-19,6,,26.934174228651322,0.14285714285714285
2023-11-01,6,,15.695222709888636,0.14285714285714285
2020-05-26,6,,12.194212602915638,0.13953488372093023
2017-05-22,6,,11.699650656481564,0.13636363636363635
2023-05-17,6,,12.157084960255887,0.13953488372093023
2020-12-03,6,,20.79147712428324,0.13953488372093023
2021-06-26,6,,11.817198801329766,0.13636363636363635
2022-06-27,6,,11.39193298368319,0.13953488372093023
2016-01-25,6,,23.526391319401846,0.14285714285714285
2021-06-21,6,,11.543920423111786,0.13636363636363635
2026-06-14,6,,11.915378936098184,0.14285714285714285
2022-01-23,6,,17.58875207392518,0.13953488372093023
2021-06-13,6,,12.102191596363943,0.13636363636363635
2023-05-14,6,,11.223293329482232,0.13953488372093023
2026-03-21,6,,17.23439334892787,0.14285714285714285
2026-02-14,5,,18.65278472172695,0.11627906976744186
2025-05-31,5,,13.63367296356233,0.11627906976744186
2016-01-20,5,,21.30072813245768,0.11627906976744186
2021-05-22,5,,11.943444856464346,0.11363636363636363
2022-01-24,5,,20.711271044500336,0.11627906976744186
2022-12-27,5,,19.03826040656967,0.11627906976744186
2018-01-07,5,,23.655905807167933,0.11627906976744186
2025-06-10,5,,11.057970223655385,0.11627906976744186
2018-01-04,5,,19.81604553552274,0.11904761904761904
2019-11-03,5,,18.06470494081422,0.1282051282051282
2021-11-25,5,Thanksgiving,16.83407826045634,0.11627906976744186
2017-05-29,5,Memorial Day,10.69072621930694,0.11363636363636363
2025-04-20,5,,15.332713405679794,0.11627906976744186
2024-07-09,5,,9.21109554438891,0.11627906976744186
2025-01-25,5,,23.098915315179287,0.11627906976744186
2025-01-10,5,,22.265911619419242,0.11627906976744186
2018-12-12,5,,20.81371237300659,0.11904761904761904
2022-03-06,5,,15.955017471523705,0.11627906976744186
2020-03-15,5,,25.400010439409705,0.11627906976744186
2026-01-17,5,,21.17844271180632,0.11904761904761904
2016-02-11,5,,22.650780310621467,0.11627906976744186
2023-01-16,5,MLK Day,21.80862081562068,0.11627906976744186
2020-10-26,5,,12.847672837607199,0.11627906976744186
2022-05-15,5,,15.128573182698945,0.11627906976744186
2021-06-05,5,,11.394385636592423,0.11363636363636363
2023-04-30,5,,15.521337944349892,0.11627906976744186
2022-05-30,5,Memorial Day,13.995150961921798,0.11627906976744186
2019-06-11,4,,12.354763302188738,0.09090909090909091
2018-05-29,4,,10.368491351000397,0.09090909090909091
2020-10-28,4,,17.34426276018962,0.0975609756097561
2024-06-22,4,,12.030185357534094,0.09302325581395349
2017-11-23,4,Thanksgiving,13.64595070383972,0.09302325581395349
2024-07-08,4,,11.192723924019418,0.09302325581395349
2020-12-19,4,,23.33021350241664,0.09302325581395349
2022-10-21,4,,16.343083275919675,0.09302325581395349
2017-10-29,4,,14.746108941424836,0.09090909090909091
2019-10-10,4,,8.383866288019355,0.09090909090909091
2023-01-15,4,,19.735382342906593,0.09302325581395349
2022-12-28,4,,19.703800253633545,0.09302325581395349
2022-06-25,4,,11.051373679024053,0.09302325581395349
2024-10-17,4,,17.40860698111591,0.09302325581395349
2021-06-14,4,,12.406951587176323,0.09090909090909091
2024-06-11,4,,11.885113962887182,0.09302325581395349
2018-11-29,4,,23.274140580178205,0.09523809523809523
2023-10-29,4,,11.097025870894385,0.09302325581395349
2021-06-02,4,,12.38151747518189,0.09090909090909091
2020-11-10,4,,18.38709363383039,0.09302325581395349
2021-06-03,4,,10.67201033140556,0.09090909090909091
2022-01-03,4,,19.02397652720799,0.09302325581395349
2022-11-19,4,,17.12049774599486,0.09302325581395349
2018-01-06,4,,21.352837538620562,0.09302325581395349
2021-06-12,4,,12.360203325686724,0.09090909090909091
2018-11-17,4,,23.843641366787928,0.09302325581395349
2022-10-19,4,,15.663762738240674,0.09302325581395349
2018-05-13,4,,16.492728512449563,0.09090909090909091
2023-05-20,4,,12.77876136355375,0.09302325581395349
2023-10-31,4,,11.974087435887384,0.09523809523809523
2020-11-20,4,,18.762511983591736,0.09302325581395349
2024-10-18,4,,15.834667116856675,0.09302325581395349
2026-01-01,4,New Year's Day,18.039177111212695,0.09302325581395349
2026-03-29,4,,14.811268902536735,0.09523809523809523
2016-06-05,4,,12.0565739748338,0.09090909090909091
2016-03-12,4,,17.446595287388284,0.09302325581395349
2026-03-11,4,,18.57015608310545,0.09523809523809523
2025-05-10,4,,14.10947907201678,0.09302325581395349
2016-01-24,4,,21.95119810942864,0.09302325581395349
2026-03-10,4,,15.533595365580084,0.09523809523809523
2019-10-31,4,,10.72365364899547,0.09090909090909091
2017-01-09,4,,19.795044162124242,0.09090909090909091
2020-05-06,4,,17.828710511584465,0.09302325581395349
2019-11-13,4,,14.509806110921446,0.09090909090909091
2017-06-11,4,,10.202468315132391,0.09090909090909091
2026-02-03,4,,25.575838513872384,0.09523809523809523
2020-03-22,4,,21.5745548031475,0.09302325581395349
2017-06-19,4,,11.41435910045995,0.09090909090909091
2016-06-04,4,,13.723103390906862,0.09090909090909091
2020-05-27,4,,11.814629584994819,0.09302325581395349
2025-02-16,4,,18.875727499118046,0.09302325581395349
2026-06-15,4,,10.880295239355359,0.09523809523809523
2020-05-25,4,Memorial Day,12.89052710537284,0.09302325581395349
2026-01-29,4,,20.98448877173983,0.09302325581395349
2019-11-09,4,,17.812521914130578,0.09090909090909091
2025-06-21,4,,10.038240792786354,0.09523809523809523
2020-09-11,4,,11.813600667130789,0.09302325581395349
2026-01-16,4,,17.79124507176187,0.09302325581395349
2020-06-02,4,,12.44479924553092,0.09302325581395349
2021-05-24,3,,10.262624448686259,0.06818181818181818
2021-05-23,3,,14.126287679828039,0.06818181818181818
2016-06-18,3,,10.394273650358727,0.06818181818181818
2016-06-19,3,,12.629525895923935,0.06818181818181818
2026-02-02,3,,19.338909908376813,0.06976744186046512
2026-02-01,3,,17.273880284437084,0.06976744186046512
2023-04-29,3,,13.081844178762973,0.07142857142857142
2018-05-28,3,Memorial Day,10.771655800626869,0.06976744186046512
2026-03-16,3,,18.801943760666354,0.06976744186046512
2016-03-20,3,,18.830892396301937,0.07317073170731707
2020-02-22,3,,19.03440996372783,0.06976744186046512
2026-03-24,3,,10.87472671261442,0.07142857142857142
2021-09-26,3,,17.89486588921612,0.06976744186046512
2021-06-22,3,,9.432033632930299,0.06818181818181818
2021-10-16,3,,14.106845823451621,0.06976744186046512
2020-04-26,3,,18.23412023705421,0.06976744186046512
2018-12-23,3,,19.22367603206111,0.07317073170731707
2020-04-28,3,,16.422068077649314,0.06976744186046512
2026-05-18,3,,10.285191686441701,0.07142857142857142
2026-05-17,3,,10.933095098917063,0.07317073170731707
2020-03-21,3,,22.824688825188648,0.06976744186046512
2015-12-20,3,,17.762788423072827,0.07317073170731707
2020-03-14,3,,22.203153070747337,0.06976744186046512
2022-01-31,3,,26.470425823148002,0.07142857142857142
2020-04-29,3,,17.36119855263628,0.06976744186046512
2022-03-12,3,,19.74876311283032,0.06976744186046512
2022-05-14,3,,13.267544160080044,0.06976744186046512
2016-03-13,3,,10.71737311021983,0.08333333333333333
2017-09-11,3,,18.760135934424124,0.06976744186046512
2021-06-04,3,,8.380279480192703,0.06818181818181818
2020-05-02,3,,15.995906440457594,0.06976744186046512
2018-05-26,3,,12.669522913760995,0.06976744186046512
2024-11-19,3,,15.038562432907254,0.06976744186046512
2016-10-08,3,,30.784924316596967,0.06818181818181818
2020-10-29,3,,10.521419574067219,0.06976744186046512
2018-01-20,3,,21.04827506762621,0.07142857142857142
2024-01-21,3,,16.21421013238234,0.06976744186046512
2020-11-12,3,,18.731732307188135,0.06976744186046512
2025-12-29,3,,17.85761931962858,0.06976744186046512
