ba,days,G3_w3_mean,G3off_w3_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
SCL,3723,2.3431447301717627,2.3040851095945594,0.03905962057720384,1.666974304841195,0.027026178933253243,0.050279492855815476,0.5140980016424856,0.0914700286628583,False,0.002844162047667818,0.013068775734278679,0.04199004516294735,-0.012198834645515477,0.293259692707865,-0.03540352273945151,-0.04347004849330731
BPAT,3760,2.4699165756771366,2.432804919984111,0.03711165569302552,1.502546930470768,0.02230971461500331,0.05181535142497541,0.5046070460704607,0.5869627617788864,False,0.24237902613635878,-0.024176502157733704,-0.02114843460572355,-0.019399882080840918,0.18420268381584906,-0.04285966809601589,-0.046999440370273815
MISO,3749,2.243029589136666,2.2094214795753717,0.033608109561294265,1.4983355424316942,0.01896808543102532,0.047489103061078126,0.4938842076651264,0.4682009704045117,False,0.2011474289790202,-0.031234077187333547,-0.01561359959144901,-0.024417334208649406,0.19930161933959925,-0.036936604330430355,-0.04826362301894343
PGE,3736,2.9748088271351594,2.9449092144820233,0.029899612653136343,1.00509358384319,0.016052881561934382,0.04377605833798753,0.48717948717948717,0.12453064210961579,False,0.16295306891456557,-0.02118309148219062,-0.02764682378127976,-0.023976836377441083,0.21910946807549783,-0.043858306706366264,-0.050890368205913375
PACW,3514,3.338227011955122,3.306216751634597,0.032010260320525445,0.9589000450205385,0.013296061640720057,0.050575706960623364,0.5017421602787456,0.8513194882587778,False,0.26707740697772714,-0.038948590193382406,-0.03426282769810155,-0.03254473597749661,0.17625499286584126,-0.05918303829841442,-0.051385927864222136
CISO,3713,2.8936900430336476,2.8704495255018827,0.023240517531764784,0.8031446763869776,0.010500396766328496,0.0351859072974866,0.47982432061487784,0.015554753502762536,False,0.2413423938927686,-0.025943710416415685,-0.03401628921361983,-0.023426186514372522,0.1121411947400475,-0.041734102312796076,-0.05477673501059442
TPWR,3761,2.915962555266496,2.895411662481835,0.020550892784660327,0.7047721771167305,0.005930302345120859,0.03512233735389346,0.4936331617447846,0.44896032061989605,False,0.20033057125082349,-0.0230868129497949,-0.016139574202601634,-0.01589858531270323,0.1146411750619202,-0.05082011496701555,-0.0553817166242764
GCPD,3754,1.8582363958469381,1.845533741522944,0.012702654323994167,0.6835865637108357,0.0027457769427618023,0.022570230651379114,0.4826275787187839,0.03638880015687465,False,0.10713881464282574,-0.013308212397904567,-0.014709664582596935,-0.020345904815639696,0.09477890333783696,-0.027861475241727267,-0.032389170923883284
NWMT,3733,2.3197378317618154,2.3103390747011097,0.00939875706070589,0.40516462386474245,-0.0011477900046845315,0.020650413948344597,0.4692874692874693,0.00021377183595691184,False,0.07903480050697799,-0.020315944646228882,-0.018501460493548155,-0.02919002313489786,0.13644508982027537,-0.041418362083506736,-0.039106078538344434
AVA,3711,2.866756845347807,2.8580150399500903,0.008741805397717177,0.30493710730658724,-0.003374353113425087,0.020830677411554435,0.4762427904421862,0.004358938042244045,False,0.10138716506669107,-0.025975197182044718,-0.0181222122303374,-0.029867450395643102,0.1365518263650738,-0.04677057973510687,-0.053355770966683425
EPE,3743,3.75828296647281,3.753381604837928,0.004901361634882683,0.13041491762613777,-0.010150449949233899,0.020174145804119012,0.47263817043288864,0.000964151556086565,False,0.12375796349919675,-0.04770105737433057,-0.03822292247981762,-0.036973651152678075,0.14079099620135202,-0.05465132490519073,-0.04661060054932327
IPCO,3755,3.08488421811813,3.0814053281003506,0.0034788900177787825,0.11277214222000875,-0.010594556841358065,0.017413244101247186,0.4808683853459973,0.021083224419465706,False,0.14704063644463933,-0.02904495337459237,-0.032016136025111865,-0.03845403753700124,0.09260165759228241,-0.05313173668329366,-0.054629602625448935
PSEI,3215,3.0097486889064027,3.0147873363837463,-0.005038647477344518,-0.16741090363844693,-0.018689944343266263,0.009232256145081517,0.47544715447154473,0.006820732222759785,False,0.07562270287811328,-0.030723006341790992,-0.04956458115543139,-0.031062174347868676,0.12732446512440732,-0.06033971869594012,-0.06728204016762351
PJM,3721,2.765311993354311,2.7701363254228863,-0.004824332068575477,-0.17445887046993147,-0.018225575964197698,0.008938136963209766,0.46343467543138867,1.0621870005592417e-05,False,0.06871999629141362,-0.03666680248159456,-0.034871582453310075,-0.027972956013236,0.11868321320725142,-0.057004565972483844,-0.06688265774449026
SOCO,3653,3.986537434243863,3.9974798144319448,-0.010942380188081783,-0.27448331712849583,-0.02694324265960149,0.005324849853901429,0.47027630477253696,0.00039611654107804957,False,0.10645894085499233,-0.05774723226119369,-0.03549293646616437,-0.04875000169727335,0.11059836597202552,-0.07376390059743598,-0.07795055102727262
PACE,3543,2.683207275128316,2.6922970416140255,-0.009089766485709678,-0.33876497615246626,-0.019011768529324714,0.0006444166777601256,0.4532104808522891,3.761161404238085e-08,False,0.0788654251422206,-0.03568433459771606,-0.02005157233305076,-0.03799645888250144,0.049511094724454585,-0.05501438331312648,-0.04446112635580621
NYIS,3759,2.488955775941693,2.500934968547183,-0.011979192605489863,-0.48129391133747856,-0.02038474481561756,-0.0036552349761597254,0.4643534833288154,1.593218313092251e-05,False,0.009496721822347403,-0.027218334758420042,-0.031189880786275756,-0.0345299702685434,0.08347318572636264,-0.0364410703004734,-0.048351095417445096
SWPP,3644,2.8307813344753203,2.8446631873009913,-0.013881852825670407,-0.49038944324689,-0.02829884588821203,0.00039793650569283943,0.47341913822048126,0.001566353978935303,False,0.04241835003600836,-0.03816847603559643,-0.029342749619313567,-0.04442717868725175,0.08130666993426199,-0.052375095529450806,-0.05567060930417399
PSCO,3721,3.460126932965469,3.477492719200145,-0.017365786234676404,-0.5018829242716024,-0.03059490898400146,-0.0043440788556666264,0.4480964119419337,3.817565199586355e-10,False,0.06594183202677498,-0.04698447537565234,-0.054946703693264466,-0.0394148045320491,0.10022986083781621,-0.06886349428708864,-0.07755635089997022
BANC,3636,3.9959433993618907,4.0192717295490255,-0.023328330187135426,-0.583800315861849,-0.03694152277183985,-0.009422883405074195,0.4826135726303982,0.03940754688539183,False,0.01681244453471351,-0.051169962419612,-0.047205870413235596,-0.03808328925884831,0.07575892308772916,-0.05626009405395478,-0.06517192116531122
DUK,3750,4.738256754048822,4.766081494685183,-0.027824740636359785,-0.5872358143653497,-0.04646236126424573,-0.009433362655138867,0.46141304347826084,3.051612859155154e-06,False,0.0695977113077571,-0.040789800352717495,-0.07212887130630845,-0.06340586470256188,0.07508556820302278,-0.061887977370696845,-0.09995046698163025
FPL,3649,3.7233261166371174,3.746922752555632,-0.02359663591851447,-0.6337515216052789,-0.034799286077102524,-0.011889087632562665,0.4545962559374127,5.979856453776172e-08,False,-0.015570616779274685,-0.035833794153984404,-0.03974269882331992,-0.045255153741586375,0.09164154945036411,-0.06071509490703939,-0.06781105470578769
LGEE,3742,4.395672443495621,4.423984505571116,-0.028312062075495498,-0.6440894411363504,-0.045541878039636455,-0.010754267773400064,0.46486928104575165,2.2077779109532043e-05,False,0.11139902821649465,-0.057961257794628754,-0.03873096159019901,-0.06389057509094359,0.04132908850780503,-0.08756756980023803,-0.09797405214254841
TVA,3708,4.430545216522651,4.461044032894636,-0.030498816371985742,-0.6883761451806825,-0.04913026028744941,-0.013047157529906265,0.46701484332050575,7.376246830215884e-05,False,0.029269636096790022,-0.058865248478841094,-0.039028200043370306,-0.06608389354960482,0.08781081685290708,-0.0794971299062316,-0.08935454498783117
CPLE,3736,5.921863247562857,5.963033770804371,-0.041170523241513636,-0.6952292128403567,-0.06155835021127951,-0.020521339418241875,0.4675395526459356,9.019525850752784e-05,False,0.024810160855213956,-0.029591740293809652,-0.07852344846293541,-0.06924889598640034,0.04700122180150719,-0.0762617122236401,-0.10919778340754589
WACM,3588,2.917069715571261,2.937388713968795,-0.020318998397534094,-0.6965551179346752,-0.03041425490477513,-0.010218056260009434,0.4519613416714042,1.3007038964667959e-08,False,0.0033538386846952498,-0.04063690261958351,-0.030124694093240215,-0.039739463571935425,0.06449382684166978,-0.049456825399116236,-0.05321061672404731
CPLW,3742,5.339564569049637,5.377955943207663,-0.038391374158025474,-0.7189982190787247,-0.0560483754816936,-0.01916981392244362,0.4678649237472767,0.0001047508948295266,False,0.05157490828570127,-0.05806927909687647,-0.060442198929425095,-0.06306383485531489,0.029304159814380046,-0.08249612336199691,-0.08255569719055905
SRP,3621,4.041008385008369,4.070537614737631,-0.029529229729262703,-0.730739135281491,-0.045560055853797146,-0.013768386621747241,0.4632497887918896,1.2713497158847116e-05,False,0.010794572093533138,-0.038661676299761444,-0.041905601930413046,-0.053455094853880156,0.07763510482995149,-0.0885529933260543,-0.07810029557398632
PNM,3754,2.756611456799378,2.7767643901895096,-0.020152933390131605,-0.731076312565667,-0.02934114015955787,-0.010299134098116842,0.4557546145494028,8.418638153126872e-08,False,-0.015314815597701925,-0.038651260624976924,-0.015420549271116439,-0.03899603358702494,0.05606373921644612,-0.04964427242124363,-0.040966202566521205
SC,3590,5.055123801225267,5.0932658831119655,-0.0381420818866984,-0.7545232003507704,-0.054596179045888406,-0.021470985248420543,0.45795454545454545,6.523968546121907e-07,False,-0.004325922759745575,-0.0471694870871617,-0.0030256100302845416,-0.06250023623858919,-0.009485192226200949,-0.05709875338529553,-0.09072225710383337
ISNE,3761,3.6772905287493294,3.7065513982045966,-0.02926086945526731,-0.7957181850741372,-0.04079184421388794,-0.01688824108969596,0.4454077485776212,3.512415192865532e-11,False,0.026246651539120917,-0.044124843283240435,-0.05786754527729672,-0.06210173388123008,0.08000129960332235,-0.05968629746295007,-0.08706516552647815
AEC,2070,6.530673885961314,6.582675133278541,-0.05200124731722754,-0.7962615838009032,-0.08477600089923222,-0.020880210057234228,0.456,9.023236607655424e-05,False,-0.01410053311894479,-0.06895917467552899,-0.03649101734796863,-0.09192695980087066,0.08434970803018745,-0.10578000314007273,-0.145620699233305
FPC,3746,5.503719559801989,5.548008628072088,-0.04428906827009838,-0.8047115734888897,-0.05967532203849321,-0.02880901569771064,0.4496735582154516,1.1214863017901471e-09,False,-0.04110803619470022,-0.044991673722316876,-0.055209579573122086,-0.06487799493844164,0.07449169850123416,-0.07949674790861042,-0.10649184371519245
LDWP,3683,3.8399758061914424,3.8715497834842916,-0.03157397729284901,-0.8222441725268226,-0.042304696092931464,-0.021365505088702934,0.44090783282590645,1.2906842989627728e-12,False,0.034657714152879646,-0.04327998726985823,-0.051497062575954544,-0.04302864022978156,0.011573172339462019,-0.06457508918459683,-0.06529746697028158
TEC,3743,4.935801173431714,4.977297340679581,-0.04149616724786713,-0.840717966340125,-0.055672075083235045,-0.02738614664460355,0.43915055812687176,1.731841684326005e-13,False,-0.03404552506948984,-0.041594514765386476,-0.06244535048465209,-0.05966615163604661,0.0770690599899568,-0.07941819139507933,-0.09670542676752225
WALC,3661,4.760672721917477,4.8031206942745746,-0.04244797235709682,-0.8916381115986453,-0.05394592915379624,-0.031142344881603983,0.43358395989974935,1.794385971969866e-15,False,0.007366428638142624,-0.04626942572406512,-0.051564789169558235,-0.051185648116670084,-0.023235215719319382,-0.07288810777656736,-0.057906347219525575
ERCO,3742,3.439101486060996,3.4699991376490913,-0.030897651588095137,-0.8984222103746063,-0.04096034769164832,-0.020322505596600607,0.44689542483660133,1.3157655138258931e-10,False,-0.04661210044404343,-0.04946501846500649,-0.02965896202986923,-0.027265952590711545,0.05276540232540026,-0.054277099903357426,-0.06678802981318561
AZPS,3743,4.094097496854422,4.131171132401055,-0.03707363554663199,-0.9055386584006955,-0.050414585639056424,-0.02373813596975216,0.46419820310372994,1.5267459821721665e-05,False,-0.016391682826340657,-0.04399444448612911,-0.04181344174701991,-0.05165412972194685,0.018609305669827828,-0.055606746159930866,-0.0706278088594498
FMPP,3663,4.436919006009601,4.47724417099804,-0.0403251649884388,-0.9088551071998437,-0.05336757305241475,-0.027636539493042678,0.4338992485388255,2.393353278313779e-15,False,-0.0375917800281982,-0.04800793260866955,-0.05807013198281433,-0.05208238062404355,0.05999651362316419,-0.062276680749230505,-0.09389162794684013
JEA,3729,5.540236471663997,5.590985561713207,-0.0507490900492109,-0.9160094575163239,-0.06949697175443344,-0.03172267180338438,0.4536758677234217,2.2500077081801917e-08,False,0.059497144603940344,-0.08058070437231542,-0.07159668158999324,-0.08353350284527222,0.033619766959058696,-0.08945773747365741,-0.1226140903844211
NEVP,3673,2.9633666162617174,2.992342681249332,-0.028976064987614635,-0.9778089834921573,-0.0379530577829471,-0.01973028399360664,0.450180405217874,2.387587289043735e-09,False,-0.014773868709346579,-0.030274986377556455,-0.029092431198079062,-0.03431221125666047,0.003327469234634547,-0.04900452535925327,-0.051520242735971895
SCEG,3715,4.5355843594082295,4.580168219346768,-0.04458385993853823,-0.982979400351297,-0.0597403229691484,-0.029723940679375813,0.4551440329218107,6.547112949589161e-08,False,-0.01712598257593032,-0.056418709790828046,-0.055048090061768064,-0.06004909688162084,0.01778778395489422,-0.059842578185196574,-0.08404434921209225
AECI,3756,5.618346868353988,5.685763903817344,-0.06741703546335559,-1.1999443438262976,-0.08886879647970763,-0.04757301241351053,0.4560499186109604,1.0181451273275002e-07,False,-0.05651889360802548,-0.09242918380916787,-0.07469367231515933,-0.051876972960049936,0.0056112235863085185,-0.1001052984774127,-0.10446615142108927
TEPC,3645,5.641142194432393,5.715490044643505,-0.07434785021111197,-1.317957386085581,-0.08909973840406864,-0.05991676872307079,0.42965034965034965,4.115266348405851e-17,False,-0.06562513230101881,-0.0724516765384894,-0.04730782663710968,-0.07566708877715403,-0.04281667406337388,-0.1076979891221867,-0.11693633578828098
